Time,Clock Clock,Input to Moore 2,NS of Moore 2,PS of Moore 2,output of Moore 2
0,0,0,0,0,0
0.1,0,0,1,0,0
0.5,1,1,1,0,0
0.6,1,1,0,1,0
0.7,1,1,0,1,1
1.0,0,0,0,1,1
1.1,0,0,1,1,1
1.5,1,1,1,1,1
1.6,1,1,0,1,1
2.0,0,0,0,1,1
2.1,0,0,1,1,1
2.5,1,1,1,1,1
2.6,1,1,0,1,1
3.0,0,0,0,1,1
3.1,0,0,1,1,1
3.5,1,1,1,1,1
3.6,1,1,0,1,1
4.0,0,0,0,1,1
4.1,0,0,1,1,1
4.5,1,1,1,1,1
4.6,1,1,0,1,1
5.0,0,0,0,1,1
5.1,0,0,1,1,1
5.5,1,1,1,1,1
5.6,1,1,0,1,1
6.0,0,0,0,1,1
6.1,0,0,1,1,1
6.5,1,1,1,1,1
6.6,1,1,0,1,1
7.0,0,0,0,1,1
7.1,0,0,1,1,1
7.5,1,1,1,1,1
7.6,1,1,0,1,1
8.0,0,0,0,1,1
8.1,0,0,1,1,1
8.5,1,1,1,1,1
8.6,1,1,0,1,1
9.0,0,0,0,1,1
9.1,0,0,1,1,1
9.5,1,1,1,1,1
9.6,1,1,0,1,1
10.0,0,0,0,1,1
10.1,0,0,1,1,1
10.5,1,1,1,1,1
10.6,1,1,0,1,1
11.0,0,0,0,1,1
11.1,0,0,1,1,1
11.5,1,1,1,1,1
11.6,1,1,0,1,1
12.0,0,0,0,1,1
12.1,0,0,1,1,1
12.5,1,1,1,1,1
12.6,1,1,0,1,1
13.0,0,0,0,1,1
13.1,0,0,1,1,1
13.5,1,1,1,1,1
13.6,1,1,0,1,1
14.0,0,0,0,1,1
14.1,0,0,1,1,1
14.5,1,1,1,1,1
14.6,1,1,0,1,1
15.0,0,0,0,1,1
15.1,0,0,1,1,1
15.5,1,1,1,1,1
15.6,1,1,0,1,1
16.0,0,0,0,1,1
16.1,0,0,1,1,1
16.5,1,1,1,1,1
16.6,1,1,0,1,1
17.0,0,0,0,1,1
17.1,0,0,1,1,1
17.5,1,1,1,1,1
17.6,1,1,0,1,1
18.0,0,0,0,1,1
18.1,0,0,1,1,1
18.5,1,1,1,1,1
18.6,1,1,0,1,1
19.0,0,0,0,1,1
19.1,0,0,1,1,1
19.5,1,1,1,1,1
19.6,1,1,0,1,1
20.0,0,0,0,1,1
20.1,0,0,1,1,1
20.5,1,1,1,1,1
20.6,1,1,0,1,1
21.0,0,0,0,1,1
21.1,0,0,1,1,1
21.5,1,1,1,1,1
21.6,1,1,0,1,1
22.0,0,0,0,1,1
22.1,0,0,1,1,1
22.5,1,1,1,1,1
22.6,1,1,0,1,1
23.0,0,0,0,1,1
23.1,0,0,1,1,1
23.5,1,1,1,1,1
23.6,1,1,0,1,1
24.0,0,0,0,1,1
24.1,0,0,1,1,1
24.5,1,1,1,1,1
24.6,1,1,0,1,1
25.0,0,0,0,1,1
25.1,0,0,1,1,1
25.5,1,1,1,1,1
25.6,1,1,0,1,1
26.0,0,0,0,1,1
26.1,0,0,1,1,1
26.5,1,1,1,1,1
26.6,1,1,0,1,1
27.0,0,0,0,1,1
27.1,0,0,1,1,1
27.5,1,1,1,1,1
27.6,1,1,0,1,1
28.0,0,0,0,1,1
28.1,0,0,1,1,1
28.5,1,1,1,1,1
28.6,1,1,0,1,1
29.0,0,0,0,1,1
29.1,0,0,1,1,1
29.5,1,1,1,1,1
29.6,1,1,0,1,1
30.6,1,1,0,1,1
